,man,e000,
,stay,e83b,
,how_long,e83c,Exod 10:3
,grind,e83d,
,stem,ea01,
,wrong,ea02,
,Sadducee,ea03,Matt 3:7
,Israel,ea04,Gen 32:28
,Herodians,ea05,Mark 3:6
,worm,ea06,
,taste,ea07,
,Jericho,ea08,Num 22:1
,donkey,ea09,
,murderer,ea10,
,wait,ea11,
,mock,ea12,
,hail,ea13,
,Alexander,ea14,Acts 19:33
,Joseph,ea15,Gen 30:24
,lot,ea16,
,lots,ea16,Luke 23:34
,dark,ea17,
,sponge,ea18,
,wrap,ea19,
,linen,ea20,
,blessed,ea21,
,half,ea22,
,language,ea23,
,weak,ea24,
,justice,ea25,
,reed,ea26,
,stumbling_block,ea27,
,Jeremiah,ea28,2 Chr 36:12
,Jonah_Simons_father,ea29,Matt 16:17
,Magadan,ea30,Matt 15:39
,south,ea31,
,Solomon,ea32,2 Sam 5:14
,grass,ea33,
,scatter,ea34,Matt 26:31
,flour,ea35,
,dough,ea36,
,precious,ea37,
,east,ea38,
,threshing,ea39,
,poor,ea3a,
,comfort,ea3b,
,altar,ea3c,Gen 8:20
,divorce,ea3d,
,rain,ea3e,
,Zebulun_man,ea3f,Gen 30:20
,Naphtali_man,ea40,Gen 30:8
,Rachel,ea41,Gen 29:6
,Ramah,ea42,Josh 18:25
,Noah_man,ea43,Gen 6:8
,Egypt,ea44,Matt 2:13
,Bethlehem,ea45,Matt 2:1
,Uriah,ea46,2 Sam 11:3
,Simeon,ea47,Gen 29:33
,Simon,ea47,John 13:26
,Nain,ea48,Luke 7:11
,owe,ea49,
,beautiful,ea4a,
,beauty,ea4a,
,Judah_man,ea4b,Gen 29:35
,Perez,ea4c,1 Chr 27:3
,Zerah,ea4d,Gen 36:13
,Tamar,ea4e,Gen 38:6
,Hezron,ea4f,Gen 46:9
,Ram,ea50,Ruth 4:19
,Amminadab,ea51,Matt 1:4
,Nahshon,ea52,Exod 6:23
,Salmon,ea53,Ruth 4:20
,Boaz,ea54,Matt 1:5
,Rahab,ea55,Josh 2:1
,Obed,ea56,Matt 1:5
,Ruth,ea57,Ruth 1:4
,Jesse,ea58,Ruth 4:17
,Corinth,ea59,Acts 18:1
,Rehoboam,ea5a,1 Kgs 11:43
,Abijah_man,ea5b,Luke 1:5
,Asa,ea5c,Matt 1:7
,Jehoshaphat,ea5d,1 Kgs 15:24
,Joram,ea5e,2 Kgs 8:16
,Uzziah,ea5f,2 Kgs 15:13
,Tema_land,ea60,Isa 21:14
,Ahaz,ea61,Matt 1:9
,Hezekiah,ea62,2 Kgs 16:20
,Manasseh_man,ea63,Gen 41:51
,Amon,ea64,Matt 1:10
,Josiah,ea65,2 Kgs 21:24
,Jechoniah,ea66,Matt 1:11
,Babel,ea67,Gen 11:9
,Babylon,ea67,Acts 7:43
,Shealtiel,ea68,Ezra 3:2
,Zerubbabel,ea69,Ezra 2:2
,Abiud,ea6a,Matt 1:13
,Eliakim,ea6b,Matt 1:13
,Azor,ea6c,Matt 1:14
,Zadok,ea6d,2 Sam 15:24
,Achim,ea6e,Matt 1:14
,Eliud,ea6f,Matt 1:14
,Eleazar,ea70,Exod 6:23
,Matthan,ea71,Matt 1:15
,north,ea74,
,cloak,ea76,
,Caiaphas,ea77,Matt 26:3
,Daniel,ea78,Matt 24:15
,trumpet,ea79,
,Gomorrah,ea7a,Gen 10:19
,Samaritan,ea7b,Luke 10:33
,fool,ea7c,
,goat,ea7d,
,virgin,ea7e,
,condemn,ea7f,
,condemnation,ea7f,
,dream,ea80,
,vision,ea80,
,tribe,ea81,
,Samaria,ea83,1 Kgs 13:32
,guilt,ea84,
,guilty,ea84,
,ox,ea85,
,fat,ea86,
,sex,ea87,
,lightning,ea88,
,west,ea89,
,fox,ea8a,
,flute,ea8b,
,gluttony,ea8c,
,drunk,ea8d,
,Sodom,ea8e,Gen 10:19
,Chorazin,ea8f,Matt 11:21
,ash,ea90,
,Simon_Jesus_Brother,ea92,Matt 13:55
,greed,ea94,
,self,ea95,
,Abel,ea96,Gen 25:4
,Barachiah,ea97,Matt 23:35
,Zechariah,ea98,Zech 1:1
,key,ea9d,
,sanctuary,eb01,
,Anna,eb02,Luke 2:36-38
,Hannah,eb02,1 Sam 1:2
,Joshua_man,eb03,
,Matthew,eb04,Matt 9:9
,Matthias,eb04,Acts 1:26
,island,eb05,
,room,eb06,
,Athens,eb07,Acts 17:15
,confuse,eb08,
,yoke,eb09,
,Parthia,eb0a,Acts 2:9
,Haran_land,eb0b,Gen 11:31
,Sea_of_Reeds,eb0c,Exod 10:19
,Aaron,eb0d,Acts 7:40
,Chaldea,eb0e,Jer 50:10
,Midian_land,eb0f,Exod 2:15
,custom,eb10,
,fat_animal,eb11,
,Thessalonica,eb12,Acts 17:1
,Berea,eb13,Acts 17:10
,prevail,eb14,Luke 23:23
,triumph,eb14,
,victory,eb14,
,queen,eb15,1  Kgs 10:1
,Rome,eb16,Acts 2:10
,Aquila,eb17,Acts 18:2
,Priscilla,eb18,Acts 18:2
,Sceva,eb19,Acts 19:14
,Demetrius,eb1a,Acts 19:24
,Levi,eb1b,Exod 1:2
,Pyrrhus,eb1c,Acts 20:4
,Secundus,eb1d,Acts 20:4
,Trophimus,eb1e,Acts 20:4
,Eutychus,eb1f,Acts  20:9
,Assos,eb20,Acts 20:13
,Mitylene,eb21,Acts 20:14
,Chios,eb22,Acts 20:15
,Miletus,eb23,Acts 20:15
,flower,eb24,
,Rhodes,eb25,Acts 21:1
,Mnason,eb26,Acts 21:16
,shave,eb27,
,metal,eb28,
,iron,eb29,
,gold,eb2a,
,silver,eb2b,
,bronze,eb2c,
,Zeus,eb2d,Acts 14:12
,Amphipolis,eb2e,Acts 17:1
,Hermes_idol,eb2f,Acts 14:12
,Apollonia,eb30,Acts 17:1
,Attalia,eb31,Acts 14:25
,tabernacle,eb32,Exod 25:9
,tent,eb32,
,strangled,eb33,
,tool,eb34,
,cow,eb36,
,Damaris,eb37,Acts 17:34
,Titus,eb38,Titus 1:4
,crooked,eb39,
,Crispus,eb3a,Acts 18:8
,Gallio,eb3b,Acts 18:12
,Sosthenes,eb3c,Acts 18:17
,Cenchrea,eb3d,Acts 18:18
,Apollos,eb3e,Acts 18:24
,Tyrannus,eb3f,Acts 19:9
,Manaen,eb40,Acts13:1
,Silas,eb41,Acts 15:22
,Seleucia,eb42,Acts 13:4
,Derbe,eb43,Acts 14:6
,Lystra,eb44,Acts 16:2
,Sergius,eb45,Acts 13:7
,Galatia,eb46,Acts 16:6
,Perga,eb47,Acts 13:13
,Bithynia,eb48,Acts 16:7
,Kish,eb49,1 Chr 24:29
,Mysia,eb4a,Acts 16:7
,Benjamin_man,eb4b,Gen 35:18
,Samothrace,eb4c,Acts 16:11
,Gamaliel,eb4d,Acts 5:34
,Neapolis,eb4e,Acts 16:11
,justify,eb4f,
,Lydia,eb50,Acts 16:14
,Lycaonia,eb51,Acts 14:6
,Thyatira,eb52,Acts 16:14
,Prochorus,eb53,Acts 6:5
,Saul,eb54,1 Sam 9:2
,Nicanor,eb55,Acts 6:5
,Nicolaus,eb56,Acts 6:5
,Parmenas,eb57,Acts 6:5
,Antioch,eb58,Acts 6:5
,Cyrene,eb59,Matt 27:32
,Alexandria,eb5a,Acts 18:24
,Cilicia,eb5b,Acts 6:9
,Mount_Horeb,eb5c,Exod 33:6
,Mount_Sinai,eb5c,Exod 19:11
,Emmor,eb5d,Acts 7:16
,Hamor,eb5d,Gen 33:19
,porch,eb5e,John 10:23
,couch,eb5f,
,descendant,eb60,
,prince,eb61,
,elder,eb62,
,Annas,eb63,Acts 4:6
,Jason,eb64,Acts 17:5
,Ananias,eb65,Acts 23:2
,Sapphira,eb66,Acts 5:1
,Theophilus,eb67,Luke 1:3
,Luke,eb68,Col 4:14
,Barsabbas,eb69,"Acts 15:22,27"
,Justus,eb6a,Acts 1:23
,Stephen,eb6b,Acts 6:5
,Elam_land,eb6d,Gen 14:1
,Pamphylia,eb6e,Acts 2:10
,Asia,eb6f,Acts 6:9
,Media,eb70,Ezra 6:2
,Theudas,eb71,Acts 5:36
,Aram_Naharaim,eb72,Gen 24:10
,Mesopotamia,eb72,Acts 2:9
,Libya,eb73,Acts 2:10
,Put_land,eb73,Nahum 3:9
,Cappadocia,eb74,Acts 2:9
,Pontus,eb75,Acts 2:9
,Phrygia,eb76,Acts 2:10
,Arabia,eb77,Gal 1:17
,Dionysius,eb78,Acts 17:34
,foreknowledge,eb79,
,centurion,eb7a,
,Achaia,eb7c,Acts 18:12
,wing,eb7d,
,wings,eb7d,
,Azotus,eb7e,Acts 8:40
,Gaza,eb7f,Gen 10:19
,salvation,eb80,
,Cornelius,eb81,Acts 10:1
,Jotham,eb82,Judg 9:5
,corner,eb83,
,letter,eb84,
,Candace,eb85,Acts 8:27
,black,eb86,
,demon,eb87,
,Cyprus,eb88,Acts 4:36
,Kittim_island,eb88,Num 24:24
,Agabus,eb89,Acts 11:28
,Claudius,eb8a,Acts 11:28
,knock,eb8b,
,Blastus,eb8d,Acts 12:20
,Samuel,eb8e,1 Sam 1:20
,eunuch,eb8f,
,Believer,eb90,Acts 5:14
,Christian,eb90,Acts 26:28
,farm,eb91,
,field,eb91,
,Rhoda,eb92,Acts 12:13
,Adramyttium,eb93,Acts 27:2
,try,eb94,
,countryside,eb96,
,Pisidia,eb97,Acts 14:24
,citizen,eb98,
,Felix,eb99,Acts 23:24
,Antipatris,eb9a,Acts 23:31
,Tertullus,eb9b,Acts 24:1
,Drusilla,eb9c,Acts 24:24
,Agrippa,eb9d,Acts 25:13
,Bernice,eb9e,Acts 25:13
,Paphos,eb9f,Acts 13:6
,Bethesda,eba0,John 5:2
,Aenon,eba1,John 3:23
,Cana,eba2,John 2:11
,Ephraim_man,eba3,Gen 41:52
,Ephraim_land,eba4,2 Chr 30:10
,finger,eba5,
,Kidron_Valley,eba6,John 18:1
,valley,eba7,
,Latin,eba8,John 19:20
,manna,eba9,Exod 16:31
,nail,ebaa,
,Nicodemus,ebab,John 3:1
,passion,ebac,
,pavement,ebad,
,Salim,ebae,John 3:23
,Sea_of_Tiberias,ebaf,John 6:1
,Tiberias_city,ebb0,John 6:23
,Siloam_city,ebb1,Luke 13:4
,week,ebb2,
,well,ebb3,
,word,ebb4,
,Clopas,ebb5,John 19:25
,Didymus,ebb6,John 11:16
,Malchus,ebb7,John 18:10
,Word,ebb8,John 1:1
,Ampliatus,ebb9,Rom 16:8
,Andronicus,ebba,Rom 16:7
,Apelles,ebbb,Rom 16:10
,Aristobulus,ebbc,Rom 16:10
,armor,ebbd,
,Asyncritius,ebbe,Rom 16:14
,Baal,ebbf,Rom 11:4
,counted,ebc0,
,credit,ebc0,
,reckon,ebc0,Rom 4:4
,Epaenetus,ebc1,Rom 16:5
,Esau,ebc2,Gen 25:25
,creation,ebc3,
,Hermas,ebc4,Rom 16:14
,Hosea,ebc5,Hos 1:1
,Illyricum,ebc6,Rom 15:19
,Julia,ebc7,Rom 16:15
,Junia,ebc8,Rom 16:7
,Narcissius,ebc9,
,Nereus,ebca,Rom 16:15
,Olympus,ebcb,Rom 16:15
,Patrobas,ebcc,Rom 16:14
,looks_like,ebcd,
,Persis,ebce,Rom 16:12
,Philologus,ebcf,Rom 16:15
,Phlegon,ebd1,Rom 16:14
,Phoebe,ebd2,Rom 16:1
,Arba,ebd3,Jos 21:11
,Quartus,ebd3,Rom 16:23
,Rebekah,ebd4,Gen 22:23
,Sarah,ebd5,Gen 17:15
,Spain,ebd6,Rom 15:24
,Stachys,ebd7,Rom 16:9
,Tryphaena,ebd8,Rom 16:12
,Tryphosa,ebd9,Rom 16:12
,Urbanus,ebda,Rom 16:9
,bribe,ebdb,
,Lot,ebdc,Gen 11:27
,Ashhur,ebdd,1 Chr 2:24
,Ashhur,ebdd,1 Chr 2:24
,Asher_man,ebde,Gen 30:13
,ring,ebdf,
,leg,ebe0,
,Salamis,ebe1,Acts 13:5
,Chloe,ebe2,1 Cor 1:11
,cymbal,ebe3,
,drum,ebe3,
,free_no_cost,ebe4,
,gong,ebe5,
,mirror,ebe6,
,important,ebe7,
,order,ebe7,
,priority,ebe7,
,loud,ebe8,
,noise,ebe9,
,sound,ebe9,
,Stephanas,ebea,1 Cor 1:16
,Eve,ebeb,Gen 3:20
,clay,ebec,
,Hermes_man,ebed,Rom 16:14
,Tertius,ebee,Rom 16:22
,apostle,ebef,
,Herodion,ebf1,Rom 16:11
,another,ebf2,
,next,ebf2,
,sharp,ebf3,
,Patmos,ebf4,Rev 1:9
,Smyrna,ebf5,Rev 1:11
,Pergamum,ebf6,Rev 1:11
,Sardis,ebf7,Rev 1:11
,Philadelphia,ebf8,Rev 1:11
,Laodicea,ebf9,Col 4:13
,wool,ebfa,
,snow,ebfb,
,church,ebfc,
,ambassador,ebfd,
,weary,ebfe,
,Balak,ebff,Rev 2:14
,Antipas,ec01,Rev 2:13
,Timothy,ec02,1 Tim 1:2
,smoke,ec03,
,philosopher,ec04,
,Epicurean,ec05,Acts 17:18
,Stoic,ec06,Acts 17:18
,Julius,ec07,Acts 27:1
,Ptolemais,ec08,Acts 21:7
,Troas,ec0b,Acts 16:8
,Ephesus,ec0c,Acts 18:19
,Macedonia,ec0d,Acts 16:9
,Erastus,ec0e,Acts 19:22
,Gaius,ec0f,Acts 19:29
,Aristarchus,ec10,Acts 20:3
,Lycia,ec13,Acts 27:5
,Cnidus,ec14,Acts 27:7
,Salmone,ec15,Acts 27:7
,Lasea,ec16,Acts 27:8
,Adriatic_Sea,ec17,Acts 27:27
,Fair_Haven,ec18,Acts 27:8
,Malta,ec19,Acts 28:1
,Publius,ec1a,Acts 28:7
,twin,ec1b,
,Syracuse,ec1c,Acts 28:12
,Rhegium,ec1d,Acts 28:13
,Puteoli,ec1e,Acts 28:13
,Iconium,ec1f,Acts 13:51
,Sopater,ec20,Acts 20:4
,Sosipater,ec20,Rom 16:21
,test,ec21,
,Creator,ec22,Rom 1:25
,Patara,ec23,Acts 21:1
,Alphaeus,ec24,Acts 1:13
,Samos,ec25,Acts 20:15
,Molech,ec26,Lev 18:21
,forest,ec27,
,Myra,ec28,Acts 27:5
,Phoenix,ec29,Acts 27:12
,Aeneas,ec2a,Acts 9:33
,Lasharon,ec2b,Josh 12:18
,Sharon,ec2b,1 Chr 5:16
,Dorcas,ec2c,Acts 9:36
,Joppa,ec2d,Jonah 1:3
,Lydda,ec2e,Acts 9:35
,Barnabas,ec2f,Acts 9:27
,Tarsus,ec30,Acts 9:11
,Damascus,ec31,Gen  14:15
,Ethiopia,ec32,Acts 8:27
,religion,ec33,
,sect,ec33,Acts 28:22
,Artemas,ec34,Acts 19:24
,Areopagus,ec35,Acts 17:19
,Cauda,ec36,Acts 27:16
,Clauda,ec36,Acts 27:16
,Lysias,ec37,Acts 24:22
,Porcius,ec38,Rev 1:11
,Gabriel,ec39,Luke 1:19
,Elizabeth,ec3a,Luke 1:5
,Quirinius,ec3b,Luke 2:2
,Phanuel,ec3c,Luke 2:36
,Tiberius_man,ec3d,Luke 3:1
,Ituraea,ec3e,Luke 3:1
,Trachonitis,ec3f,Luke 3:1
,Lysanias,ec40,Luke 3:1
,winnowing_fork,ec41,Matt 3:12
,threshing_floor,ec42,
,storehouse,ec43,
,Eli,ec44,1 Sam 1:3
,Heli,ec44,Luke 3:23
,Melchi,ec45,Luke 3:24
,Jannai,ec46,Luke 3:24
,Amos,ec47,Amos
,Nahum,ec48,Nah 1:1
,Esli,ec49,Luke 3:25
,Naggai,ec4a,Luke 3:25
,Maath,ec4b,Luke 3:26
,Joanan,ec4c,Luke 3:27
,Abilene,ec4d,Luke 3:1
,Abyss,ec4e,Luke 8:31
,Adam_man,ec4f,Gen 2:17
,Addi,ec50,Luke 3:28
,Admin,ec51,Luke 3:33
,Arni,ec52,Luke 3:33
,Arphaxad,ec53,Luke 3:36
,awake,ec54,
,bank,ec55,
,Cain,ec56,Gen 4:1
,Cainan,ec56,Luke 3:36
,Kenan,ec56,Gen 5:9
,Chuza,ec57,Luke 8:3
,Cleopas,ec58,Luke 24:18
,Cosam,ec59,Luke 3:28
,Eber_man,ec5a,Gen 10:21
,Eliezer,ec5b,Gen 15:2
,Elisha,ec5c,1 Kgs 19:16
,Elishah,ec5c,Gen 10:4
,Elmadam,ec5d,Luke 3:28
,Emmaus,ec5e,Luke 24:13
,Enoch,ec5f,Gen 4:17
,Hanok,ec5f,Gen 25:4
,Enos,ec60,Luke 3:38
,Enosh,ec60,Gen 4:26
,Er,ec61,Gen 38:3
,Jared,ec62,Gen 5:15
,Joanna,ec63,Luke 8:3
,Jorim,ec64,Luke 3:29
,lake,ec65,
,Lamech,ec66,Gen 5:25
,Lazarus,ec67,John 11:14
,Mahalalel,ec68,
,Martha,ec69,John 11:5
,Melea,ec6a,Luke 3:31
,Menna,ec6b,Luke 3:31
,Methuselah,ec6c,Gen 5:21
,Naaman,ec6d,Gen 46:21
,Nahor,ec6e,Gen 11:22
,Nathan,ec6f,2 Sam 5:14
,Nathaniel,ec6f,Num 7:23
,Neri,ec70,Luke 3:27
,Peleg,ec71,Gen 10:25
,plow,ec72,Deut  22:10
,proverb,ec73,
,Reu,ec74,Gen 11:18
,Rhesa,ec75,Luke 3:27
,Salathiel,ec76,1 Chr 3:17
,scorpion,ec77,
,Serug,ec78,Gen 11:20
,Seth,ec79,Gen 4:25
,Shelah,ec7a,Gen 38:5
,Shem,ec7b,Gen 5:32
,Susanna,ec7c,Luke 8:3
,Terah_man,ec7d,Gen 11:24
,Zacchaeus,ec7e,Luke 19:2
,Zarephath,ec7f,1 Kgs 17:9
,ancestor,ec80,
,pentecost,ec81,Acts 2:1
,Pentecost,ec81,Acts 2:1
,chariot,ec82,
,farewell,ec83,
,throne,ec84,
,savior,ec85,
,burden,ec86,
,case,ec87,Exod 18:22
,trial,ec87,
,ceremony,ec88,
,magician,ec8a,
,sky,ec8b,
,sorcery,ec8c,
,Crete,ec8d,Acts 27:7
,Freedmen,ec8e,Acts 6:9
,Hebrew,ec8f,Gen 14:13
,Italy,ec90,Acts 18:2
,vine,ec91,
,Joel,ec92,Joel 1:1
,Lucius,ec93,Acts 13:1
,Pharaoh,ec94,Genesis 12:15
,Shechem_city,ec95,Josh 21:21
,Timon,ec96,Acts 6:5
,Shechem_man,ec97,Gen 34:20
,incense,ec98,
,rough,ec99,Luke 3:5
,smooth,ec9a,
,Jonam,ec9b,Luke 3:30
,Mattatha,ec9c,Luke 3:31
,Mattathias,ec9d,Luke 3:26
,Semein,ec9e,
,elect,ec9f,
,Balaam,eca1,2 Pet 2:15
,Jezebel,eca2,1 Kgs 16:31
,milk,eca3,
,Fortunatus,eca4,1 Cor 16:17
,Achaicus,eca5,1 Cor 16:17
,Aretas,eca6,2 Cor 11:32
,harsh,eca7,
,stern_words,eca7,
,pillar,eca8,
,Silvanus,eca9,2 Cor 1:19
,Hymenaeus,ecaa,1Tim 1:20
,Hagar,ecab,Gen 16:1
,Philetus,ecac,2 Tim 2:17
,Carpus,ecad,2 Tim 4:13
,Claudia,ecae,2 Tim 4:21
,Crescan,ecaf,2 Tim 4:10
,Linus,ecb0,2 Tim 4:21
,Dalmatia,ecb1,2 Tim 4:10
,Demes,ecb2,2 Tim 4:10
,Eubulus,ecb3,2 Tim 4:21
,Eunice,ecb4,2 Tim 1:5
,Hermogenes,ecb5,2 Tim 1:15
,lion,ecb6,
,Lois,ecb7,2 Tim 1:5
,Onesimus,ecb8,Phlm 1:10
,Onesiphorus,ecb8,2 Tim I:16
,Phygelus,ecb9,2 Tim 1:15
,Pudens,ecba,2 Tim 4:21
,Tychicus,ecbb,Acts 20:4
,Jambres,ecbc,2 Tim 3:8
,Gad,ecbd,Gen 46:16
,Jannes,ecbe,2 Tim 3:8
,arrow,ecbf,
,Reuben,ecc0,Gen 29:32
,height,ecc1,
,length,ecc2,
,pastor,ecc3,
,wide,ecc4,
,horn,ecc5,
,harp,ecc6,
,string,ecc7,
,bow_arrow,ecc8,
,eagle,ecc9,
,Issachar,ecce,Gen 30:18
,thirst,eccf,
,thirsty,eccf,
,burn,ecd0,
,burnt,ecd0,
,green,ecd1,
,bitter,ecd2,
,Wormwood,ecd3,Rev 8:11
,locust,ecd4,
,breastplate,ecd5,
,tail,ecd6,
,Abaddon,ecd7,Rev 9:11
,Appolyon,ecd7,
,Euphrates_River,ecd8,Rev. 9:14
,million,ecd9,
,blue,ecda,
,yellow,ecdb,
,rainbow,ecdc,
,hail_storm,ecdd,
,glass,ecde,
,dragon,ecdf,
,flood,ece0,
,Michael_angel,ece1,Jude 9
,Diotrephes,ece2,3 John 1:9
,Clement,ece3,Phil 4:3
,Epaphras,ece4,Col 1:7
,Epaphroditus,ece4,Phil 2:25
,Euodia,ece5,Phil 4:2
,Syntyche,ece6,Phil 4:2
,Archippus,ece7,Col 4:17
,Colossae,ece8,Col 1:2
,Hierapolis,ece9,Col 4:13
,Nympha,ecea,Col 4:15
,Scythia,eceb,Col 3:11
,complete,ecec,
,perfect,ecec,
,own,eced,
,breath,ecee,
,breathe,ecee,
,bear,ecef,
,example,ecf0,
,pattern,ecf0,
,Apphia,ecf1,Phil 1:2
,Philemon,ecf2,Phlm 1:1
,Korah,ecf3,Gen 36:14
,grape,ecf4,
,Mount_Zion,ecf5,2 Kgs 19:31
,frog,ecf6,
,Gog_land,ecf7,Ezek 38:2
,leopard,ecf8,
,Magog_land,ecf9,Ezek 38:2
,meaning,ecfa,
,Megiddo,ecfb,Josh 12:21
,harlot,ecfc,
,prostitute_woman,ecfc,
,sand,ecfd,
,spice,ecfe,
,different,ecff,
,kind_same,ed00,
,type,ed00,
,blemish,ed01,
,spot,ed01,
,Barak,ed02,Heb 11:32
,Gideon,ed03,Judg 6:11
,Jephthah,ed04,Judg 11:1
,Melchizedek,ed05,Gen 14:18
,Samson,ed06,Judg 13:24
,spy,ed07,
,Nicopolis,ed08,Titus 3:12
,Zenas,ed09,Titus 3:13
,jump,ed0a,
,leap,ed0a,
,Job,ed0b,Job 1:1
,avenge,ed0c,
,revenge,ed0c,Rom 12:19
,vengeance,ed0c,
,thigh,ed0d,
,Antichrist,ed0e,1 John 4:3
,tithe,ed0f,
,right_time,ed10,
,pn,ed11,
,Matthat,ed12,Luke 3:24
,olive,eda1,
,fig,eda2,
,Beor,eda3,Gen 36:32
,crown,eda4,
,discipline,eda5,
,cave,eda6,
,Adah,eda7,Gen 4:19
,Admah,eda8,Gen 10:19
,Ahuzzath,eda9,Gen 26:26
,Ai,edaa,Gen 13:3
,Akkad,edab,Gen 10:10
,Almodad,edac,Gen 10:26
,Ammon,edae,Gen 19:38
,Amorites,edaf,Gen 10:16
,Amraphel,edb1,Gen  14:1
,Anam,edb2,Gen 10:13
,Aner,edb3,Gen  14:13
,Aram_man,edb4,Gen 10:22
,Ararat,edb5,Gen 8:4
,Arioch,edb6,Gen  14:1
,Arkites,edb7,Gen 10:17
,Arvad,edb8,Gen 10:18
,Ashkenaz,edb9,Gen 10:3
,Ashtaroth,edba,Josh 9:10
,Ashtiroth_Karnaim,edba,Gen 14:5
,Ashur_man,edbb,Gen 10:22
,Assyria,edbc,Gen 10:11
,Basemath,edbd,Gen 26:34
,Beeri,edbe,Gen 26:34
,Beersheba,edbf,Gen 26:33
,Bela_village,edc1,Gen 14:8
,Ben_Ammi,edc2,Gen 19:38
,Bera,edc3,Gen 14:2
,Bethel,edc4,Gen 12:8
,Birsha,edc5,Gen 14:2
,Calah,edc6,Gen 10:12
,Canaan_man,edc7,Gen 9:18
,Caphtorites,edc8,Gen  10:14
,Kasluhites,edc9,Gen 10:14
,Cush,edca,Gen 2:13
,Cush_man,edca,Gen 10:6
,Cypress,edcb,Gen 6:14
,Dan_land,edcc,Gen 14:14
,Dan_man,edcd,Gen 30:6
,Dedan,edce,Gen 10:7
,Dodanim,edcf,Gen  10:4
,Sered,edd1,Gen 46:14
,Eden_garden,edd2,Gen  2:8
,El,edd3,Gen 35:17
,Elam_man,edd4,Gen 10:22
,Shillem,edd5,Gen46:24
,Ellasar,edd6,Gen 14:1
,Elon,edd7,Gen 26:34
,Erech,edd9,Gen 10:10
,Esek,edda,Gen 26:20
,Eshkol_man,eddb,Gen 14:13
,garden,eddc,
,Gerar,eddd,Gen 10:19
,Gether,edde,Gen 10:23
,Gihon,eddf,Gen 2:13
,Girgashites,ede1,Gen 10:16
,Goiim,ede2,Gen 14:1
,Gomer,ede3,Gen 10:2
,Hadoram,ede4,Gen 10:27
,Ham_man,ede5,Gen 6:10
,Ham_village,ede6,Gen 14:5
,Hamathites,ede7,Gen 10:18
,Havilah_land,ede8,Gen 2:11
,Hazarmaveth,ede9,Gen 10:26
,Hazezon_Tamar,edea,Gen 14:7
,Hebron_village,edeb,Gen 13:18
,Kiriath_Arba,edeb,Gen 23:2
,Heth,edec,Gen 10:15
,Hittites,eded,Gen 15:20
,Hivites,edee,Exod 3:8
,Hobah,edef,Gen 14:15
,Horites,edf1,Gen 14:6
,Hul,edf2,Gen 10:23
,Irad,edf3,Gen 4:18
,Japheth,edf4,Gen 6:10
,Jerah,edf5,Gen 10:26
,Jobab,edf6,Gen 10:29
,Jubal,edf7,Gen 4:21
,Judith,edf8,Gen 26:34
,Kadesh,edf9,Gen 14:7
,Kadesh_Barnea,edf9,Num 34:4
,Kalneh,edfa,Gen 10:10
,Kedorlaomer,edfb,Gen 14:1
,Kittim_man,edfc,Gen 10:4
,Laban,edfd,Gen 24:29
,Luz,edfe,Gen 28:19
,Madai,edff,Gen 10:2
,Magog_man,eea1,Rev 20:8
,Mahalath,eea2,Gen 28:9
,Mamre,eea3,Gen 18:1
,Mehujael,eea4,Gen 4:18
,Mesha_land,eea5,Gen 10:30
,Meshech,eea6,Gen 10:2
,Methushael,eea7,Gen 4:18
,Mizraim,eea8,1 Chr 1:8
,Moab_man,eea9,Gen 19:37
,Moreh,eeaa,Gen 12:6
,Naamah_woman,eeab,Gen 4:22
,Naphtuh,eeac,Gen 10:13
,Nebaioth,eead,Gen 28:9
,Negev,eeae,Gen 12:9
,Nimrod,eeaf,Gen 10:8
,Nod,eeb1,Gen 4:16
,Obal,eeb2,Gen 10:28
,Ophir,eeb3,Gen 10:29
,Pathrusites,eeb4,1 Chr 1:12
,Perizzites,eeb5,Gen 15:20
,Phicol,eeb6,Gen 21:22
,Philistia,eeb7,Ps 60:8
,Pishon,eeb8,Gen 2:11
,pitch,eeb9,Gen 6:14
,tar,eeb9,
,Put_man,eeba,1 Chr 1:8
,Raamah,eebb,Gen 10:7
,Rehoboth,eebc,Gen 26:22
,Rephaim,eebd,Josh 15:8
,Resen,eebe,Gen 10:12
,rib,eebf,Gen 2:21
,Riphath,eec1,Gen 10:3
,Sabtah,eec2,Gen 10:7
,Sabteka,eec3,Gen 10:7
,Sarai,eec4,Gen 11:29
,Seba_man,eec5,Gen10:7 (man)
,Seir,eec6,Gen 14:6
,Sephar,eec7,Gen 10:30
,Shaveh_Kiriathaim,eec8,Gen 14:5
,Sheba_man,eec9,2 Sam 20:1
,Sheleph,eeca,Gen 10:26
,Shemeber,eecb,Gen 14:2
,Shinab,eecc,Gen 14:2
,Shinar,eecd,Gen10:10
,Siddim,eece,Gen 14:3
,Sidon_man,eecf,Gen 10:15
,Sinites,eed1,Gen 10:17
,Sitnah,eed2,
,Tarshish_man,eed3,Gen 10:4
,Tarshish_village,eed4,Ps 48:7
,Tidal,eed5,Gen 14:1
,Tigris,eed6,Dan 10:4
,Tiras,eed7,Gen 10:2
,Togarmah,eed8,Gen 10:3
,Tubal,eed9,Gen 10:2
,Ishbak,eeda,Gen 25:2
,Iskah,eedb,Gen 11:29
,Jetur,eedc,Gen 25:15
,Jokshan,eedd,Gen 25:2
,Kedar,eede,Gen 25:13
