,man,e000,
,army,e148,
,cohort,e148,
,shout,e149,
,amazed,e14a,
,amazing,e14a,Esth 1:1
,great,e14a,
,boast,e14b,
,pride,e14b,
,proud,e14b,
,staff,e14c,
,ocean,e14d,
,sea,e14d,
,arm,e14e,
,carpenter,e14f,
,attendant,e150,
,helper,e150,
,sinner,e151,
,deceiver,e152,
,hypocrite,e152,
,earth,e153,
,ground,e153,
,land,e153,
,space,e153,
,grow,e154,
,growth,e154,
,ripen,e154,
,everywhere,e155,
,desert,e156,
,wilderness,e156,
,countrymen,e157,
,foreigner,e158,
,gentile,e158,Matt 4:15
,sojourner,e158,
,earthquake,e159,
,where,e15a,
,dirt,e15b,
,ground_soil,e15b,
,soil,e15b,
,root,e15c,
,dust,e15d,
,year,e15e,
,day,e15f,
,sun,e15f,
,Sabbath,e160,Exod 16:23
,sundown,e161,
,appear,e162,
,reveal,e162,Matt 11:27
,show,e162,
,morning,e163,
,lamp,e164,
,denarius,e165,Matt 22:19
,I,e166,
,me,e166,
,us,e167,
,we,e167,
,Arodi,e168,Gen 46:16
,Baal_Hanan,e169,Gen 36:38
,time,e16a,
,when,e16a,
,winter,e16b,
,until,e16c,
,past,e16d,
,future,e16e,
,longsuffering,e16f,
,patience,e16f,
,patient,e16f,
,endure,e170,
,house,e171,
,prison,e172,
,neighbor,e173,
,member,e174,
,lease,e175,
,family,e176,
,relative,e176,
,adopt,e177,
,adoption,e177,
,grave,e178,
,tomb,e178,
,foundation,e179,
,build,e17a,
,abide,e17b,
,dwell,e17b,
,no,e17c,
,not,e17c,
,bad,e17d,
,wild,e17e,
,deceive,e17f,
,deception,e17f,
,false,e17f,
,lead_astray,e17f,
,lie,e17f,Acts 5:4
,impossible,e180,
,dead,e181,
,death,e181,
,die,e181,
,worse,e182,
,tempt,e183,
,temptation,e183,
,other,e184,
,that,e184,
,quiet,e185,Matt 20:31
,silence,e185,
,secret,e186,
,whisper,e186,
,spirit,e187,
,dry,e188,
,old,e189,
,open,e18a,
,mystery,e18b,
,immeasurable,e18c,
,famine,e18d,
,fast_no_eat,e18e,
,forgive,e18f,
,forgiveness,e18f,
,futile,e190,
,useless,e190,
,deaf,e191,
,blind,e192,
,disobedience,e193,
,disobey,e193,
,rebellion,e193,
,reject,e193,
,doubt,e194,
,unbelief,e194,
,betray,e195,
,betrayal,e195,
,brave,e196,
,courage,e196,
,far,e197,
,many,e198,
,much,e198,
,more,e199,
,village,e19a,
,few,e19b,
,small,e19b,
,slow,e19c,
,humble,e19d,
,humility,e19d,
,careful,e19e,
,warn,e19e,
,basket,e19f,
,Bethuel_man,e1a0,Gen 22:22
,who,e1a1,
,judge,e1a2,
,judgment,e1a2,
,gain,e1a3,
,receive,e1a3,
,Ben_oni,e1a4,Gen 35:18
,Buz,e1a5,Gen 22:21
,Edom_man,e1a6,Gen 25:30
,Edom_land,e1a7,Gen 32:3
,Elah,e1a9,Gen  36:41
,Ezbon,e1aa,Gen 46:16
,Ezer,e1ab,Gen 36:21
,Diklah,e1ac,Gen  10:27
,Ephah,e1ad,Gen 25:4
,Eri,e1ae,Gen 46:16
,Hadar,e1af,Gen 36:39
,Hazo,e1b0,Gen 22:22
,Heber,e1b1,Gen 46:17
,Heman,e1b2,1 Kgs 4:31
,Hirah,e1b3,Gen 38:1
,Husham,e1b4,Gen 36:34
,Ishmael,e1b5,Gen 17:18
,Ithran,e1b6,Gen 36:26
,Jabal,e1b7,Gen 4:20
,Jahziel,e1b8,Gen 46:24
,Jakin,e1b9,Gen 46:10
,Javan,e1ba,Gen 10:2
,Jeush,e1bb,Gen 36:5
,Jezer,e1bc,Gen 46:24
,Joktan,e1bd,Gen 10:25
,Kezib,e1bf,Gen 38:5
,Lasha,e1c0,Gen 10:19
,Lehabites,e1c1,Gen 10:13
,Lud,e1c2,Gen 10:22
,Manahath,e1c3,Gen 36:23
,Mattithiah,e1c4,Ezra 10:43
,Mibzar,e1c5,Gen 36:42
,Mishma,e1c6,Gen 25:14
,Mizzah,e1c7,Gen 36:13
,Nahath,e1c8,Gen 36:13
,Tohu,e1c8,1 Sam 1:1
,Omar,e1c9,Gen 36:11
,Onam,e1ca,Gen 36:23
,Onan,e1cb,Gen 38:8
,Pallu,e1cc,Exod 6:14
,Potiphera,e1cd,Gen 41:45
,Reuel,e1ce,Gen 36:4
,Amittai,e1cf,Jonah 1:1
,punish,e1d0,
,punishment,e1d0,
,Abram,e1d1,Gen 12:1
,Rosh,e1d2,Gen 46:21
,Puah_man,e1d3,Judg 10:1
,Serah,e1d4,Gen 46:17
,Shaul,e1d5,Gen 46:10
,Shepho,e1d6,Gen 36:23
,Shibah,e1d7,Gen 26:33
,Shiloh,e1d8,Josh 18:1
,Shobal,e1d9,Gen 36:20
,Shur,e1da,Gen 16:7
,Tahash,e1db,Gen 22:24
,Timnah,e1dc,Josh 15:10
,Uz_land,e1dd,Job 1:1
,Zepho,e1de,Gen 36:11
,Zimran,e1df,Gen 25:2
,Bethuel_city,e1e0,I Chr 4:30
,Teman_land,e1e1,Jer 49:20
,Cush_land,e1e2,Isa 11:11
,Eldaah,e1e3,Gen 25:4
,El_Elohe,e1e4,Gen 33:20
,Jebusites,e1e5,Gen 10:16
,Jegar_Sahadutha,e1e6,Gen 31:47
,Shua,e1e7,1 Chr 2:3
,Shaphat,e1e8,Num 13:5
,Eden_man,e1e9,2 Chr 29:12
,Ludites,e1ea,Gen 10:13
,Midian_man,e1eb,Gen 25:2
,Dishan,e1ec,Gen 36:21
,Bela_man,e1ed,Gen 14:2
,Bedad,e1ee,Gen 36:35
,Asshurites,e1ef,Gen 25:3
,Palti,e1f0,Num 13:9
,Zaccur,e1f1,Num 13:4
,Zin,e1f2,Num 13:21
,Zoan,e1f3,Num 13:22
,Zuar,e1f4,Num 1:8
,Zuriel,e1f5,Num 3:35
,Zurishaddai,e1f6,Num 1:6
,Abidan,e1f7,Num 1:11
,Abihail,e1f8,Num 3:35
,Elizur,e1fa,Num 1:5
,Geuel,e1fb,Num 13:15
,Helon,e1fc,Num 1:9
,Hobab,e1fd,Num 10:29
,Igal,e1fe,Num 13:7
,Tekoa_man,e1ff,1Cron 2:24
,child,e200,
,children,e201,
,hill,e202,
,face,e203,
,anger,e204,
,angry,e204,
,happy,e205,
,joy,e205,
,head,e206,
,grieve,e207,
,sad,e207,
,hair,e208,
,health,e209,
,healthy,e209,
,disease,e20a,
,sick,e20a,
,festival,e20b,
,party,e20b,
,cry,e20c,
,Passover,e20d,Exod 12:11
,grateful,e20e,
,gratitude,e20e,
,thank,e20e,
,skull,e20f,
,bow,e210,
,very,e211,
,here,e212,
,hope,e213,
,rescue,e214,Acts 12:11
,save,e214,
,immediately,e215,
,now,e215,
,hosanna,e216,
,glorify,e217,
,glory,e217,
,fall,e218,
,faithful,e219,
,faithfulness,e219,
,fast_speed,e21a,
,bright,e21b,
,cornerstone,e21c,
,covenant,e21d,
,beg,e21e,
,best,e21f,
,wind,e220,
,seal,e221,Matt 27:66
,sealed,e221,
,suffer,e222,
,suffering,e222,
,alone,e223,
,only,e223,
,laugh,e224,
,laughter,e224,
,late,e225,
,later,e225,
,this,e226,
,bear_with,e227,
,press,e228,Luke 8:45
,most,e229,
,book,e22a,
,learn,e22a,
,read,e22a,
,good_news,e22b,
,gospel,e22b,
,Bible,e22c,
,Scripture,e22c,Mark 12:10
