Ellasar,edd6,Gen 14:1
Elmadam,ec5d,Luke 3:28
Elon,edd7,Gen 26:34
Elzaphan,e2f0,Exod 6:22
Emites,efa8,Gen 14:5
Emmaus,ec5e,Luke 24:13
Emmor,eb5d,Acts 7:16
Enaim,efb9,Gen 38:14
Enan,e2b9,Num 1:15
Endor,e467,Josh 17:11
Enoch,ec5f,Gen 4:17
Enos,ec60,Luke 3:38
Enosh,ec60,Gen 4:26
Epaenetus,ebc1,Rom 16:5
Epaphras,ece4,Col 1:7
Epaphroditus,ece4,Phil 2:25
Ephah,e1ad,Gen 25:4
Epher,eefe,Gen 25:4
Ephesus,ec0c,Acts 18:19
Ephod,e475,Num 34:23
Ephraim_land,eba4,2 Chr 30:10
Ephraim_man,eba3,Gen 41:52
Ephrath,efba,Gen 35:16
Ephron,eeff,Gen 23:8
Epicurean,ec05,Acts 17:18
Er,ec61,Gen 38:3
Eran,e3aa,Num 26:36
Erastus,ec0e,Acts 19:22
Erech,edd9,Gen 10:10
Eri,e1ae,Gen 46:16
Esau,ebc2,Gen 25:25
Esek,edda,Gen 26:20
Eshban,eff2,Gen 36:26
Eshkol_land,e3cb,Num 13:23
Eshkol_man,eddb,Gen 14:13
Esli,ec49,Luke 3:25
Esther,e49f,Esth 2:7
Etham,e2c2,Exod 13:20
Ethiopia,ec32,Acts 8:27
Eubulus,ecb3,2 Tim 4:21
Eunice,ecb4,2 Tim 1:5
Euodia,ece5,Phil 4:2
Euphrates_River,ecd8,Rev. 9:14
Eutychus,eb1f,Acts  20:9
Eve,ebeb,Gen 3:20
Evi,e3c2,Num 31:8
Ezbon,e1aa,Gen 46:16
Ezer,e1ab,Gen 36:21
Ezion_Geber,e3e9,Num 33:35
Fair_Haven,ec18,Acts 27:8
Felix,eb99,Acts 23:24
Fortunatus,eca4,1 Cor 16:17
Freedmen,ec8e,Acts 6:9
Gabriel,ec39,Luke 1:19
Gad,ecbd,Gen 46:16
Gadara,e33f,Matt 8:28
Gaddi,e2ba,Num 13:11
Gaddiel,e2bb,Num 13:10
Gaham,efbb,Gen 22:24
Gaius,ec0f,Acts 19:29
Galatia,eb46,Acts 16:6
Galeed,efbc,Gen 31:47
Galilee,e337,Josh 20:7
Gallio,eb3b,Acts 18:12
Gamaliel,eb4d,Acts 5:34
Gatam,eff3,Gen 36:11
Gath,e461,1 Sam 21:10
Gaza,eb7f,Gen 10:19
Geder,e440,Josh 12:13
Gemalli,e2bc,Num 13:12
Gennesaret,e341,Matt 14:34
gentile,e158,Matt 4:15
Gera,efbd,Gen 46:21
Gerar,eddd,Gen 10:19
Gerasenes,e33f,Mark 5:1
Gershom,e0cb,Exod 2:22
Gershon,efbe,Gen 46:11
